"customerkey","geographykey","customername","geographykey-2","city","state","countryregioncode","country","postalcode"
13702,307,"Jessie D Suarez",307,"Chula Vista","California","US","United States","91910"
13703,623,"Mackenzie J Sanders",623,"Kirkland","Washington","US","United States","98033"
13704,644,"Victoria J Davis",644,"Walla Walla","Washington","US","United States","99362"
13705,547,"Blake Mitchell",547,"Portland","Oregon","US","United States","97205"
13706,49,"Kaitlyn S Peterson",49,"Cliffside","British Columbia","CA","Canada","V8Y 1L1"
13707,62,"Austin Smith",62,"Royal Oak","British Columbia","CA","Canada","V8X"
13708,49,"Jennifer G Bennett",49,"Cliffside","British Columbia","CA","Canada","V8Y 1L1"
13709,51,"Zachary L Robinson",51,"Langford","British Columbia","CA","Canada","V9"
13710,59,"Destiny M Harris",59,"Oak Bay","British Columbia","CA","Canada","V8P"
13711,62,"Thomas J Mitchell",62,"Royal Oak","British Columbia","CA","Canada","V8X"
13712,536,"Nancy E Martinez",536,"Beaverton","Oregon","US","United States","97005"
13713,638,"Alexander M Walker",638,"Sedro Woolley","Washington","US","United States","98284"
13714,545,"Amanda Ward",545,"Milwaukie","Oregon","US","United States","97222"
13715,307,"Eduardo Sanchez",307,"Chula Vista","California","US","United States","91910"
13716,315,"Brandon Jai",315,"Downey","California","US","United States","90241"
13717,536,"Audrey H Gill",536,"Beaverton","Oregon","US","United States","97005"
13718,634,"Marcus Barnes",634,"Redmond","Washington","US","United States","98052"
13719,51,"Isaac Carter",51,"Langford","British Columbia","CA","Canada","V9"
13720,66,"Cameron R Johnson",66,"Sooke","British Columbia","CA","Canada","V0"
13721,631,"Lucas A Howard",631,"Olympia","Washington","US","United States","98501"
13722,633,"Luke Campbell",633,"Puyallup","Washington","US","United States","98371"
13723,301,"Leonard D Raje",301,"Burbank","California","US","United States","91502"
13724,339,"Charles J Thompson",339,"Mill Valley","California","US","United States","94941"
13725,361,"Nathan Henderson",361,"San Gabriel","California","US","United States","91776"
13726,374,"Austin C Lewis",374,"Torrance","California","US","United States","90505"
13727,299,"Paula A Rubio",299,"Berkeley","California","US","United States","94704"
13728,298,"Taylor Stewart",298,"Bellflower","California","US","United States","90706"
13729,638,"Jason Li",638,"Sedro Woolley","Washington","US","United States","98284"
13730,609,"Walter E Suarez",609,"Bellingham","Washington","US","United States","98225"
13731,312,"Jan R James",312,"Coronado","California","US","United States","92118"
13732,54,"Julian A Isla",54,"N. Vancouver","British Columbia","CA","Canada","V7L 4J4"
13733,612,"Sydney V Collins",612,"Burien","Washington","US","United States","98168"
13734,299,"Kristi A Gonzalez",299,"Berkeley","California","US","United States","94704"
13735,611,"Dennis Guo",611,"Bremerton","Washington","US","United States","98312"
13736,372,"Cole R Rivera",372,"Spring Valley","California","US","United States","91977"
13737,298,"Garrett Sanders",298,"Bellflower","California","US","United States","90706"
13738,338,"Jose Young",338,"Los Angeles","California","US","United States","90012"
13739,635,"Jason H Coleman",635,"Renton","Washington","US","United States","98055"
13740,644,"Jada Ramirez",644,"Walla Walla","Washington","US","United States","99362"
13741,329,"Haley A Morgan",329,"Imperial Beach","California","US","United States","91932"
13742,611,"Benjamin Ross",611,"Bremerton","Washington","US","United States","98312"
13743,59,"Isabella Anderson",59,"Oak Bay","British Columbia","CA","Canada","V8P"
13744,611,"Alvin C Andersen",611,"Bremerton","Washington","US","United States","98312"
13745,545,"Andrew J Robinson",545,"Milwaukie","Oregon","US","United States","97222"
13746,299,"Janelle E Madan",299,"Berkeley","California","US","United States","94704"
13747,623,"Brian J Torres",623,"Kirkland","Washington","US","United States","98033"
13748,635,"José A Martinez",635,"Renton","Washington","US","United States","98055"
13749,302,"Julio C Alonso",302,"Burlingame","California","US","United States","94010"
13751,68,"Allison M Rivera",68,"Vancouver","British Columbia","CA","Canada","V7L 4J4"
13752,331,"Isabella L Parker",331,"La Jolla","California","US","United States","92806"
13753,355,"Rebecca Nicholls",355,"Redwood City","California","US","United States","94063"
13754,607,"Paige Peterson",607,"Ballard","Washington","US","United States","98107"
13755,536,"Luke J Roberts",536,"Beaverton","Oregon","US","United States","97005"
13756,66,"Kaylee S Young",66,"Sooke","British Columbia","CA","Canada","V0"
13757,618,"Jordyn N Griffin",618,"Issaquah","Washington","US","United States","98027"
13758,51,"Alexandria A Bell",51,"Langford","British Columbia","CA","Canada","V9"
13759,316,"Jackson Scott",316,"El Cajon","California","US","United States","92020"
13760,52,"Brian L Cooper",52,"Langley","British Columbia","CA","Canada","V3A 4R2"
13761,546,"Logan H Powell",546,"Oregon City","Oregon","US","United States","97045"
13762,62,"Gavin Long",62,"Royal Oak","British Columbia","CA","Canada","V8X"
13763,648,"Stephanie D Richardson",648,"Yakima","Washington","US","United States","98901"
13764,186,"Stephanie J Parker",186,"Dunkerque","Nord","FR","France","59140"
13765,254,"Jaime Shen",254,"London","England","GB","United Kingdom","W1N 9FA"
13766,194,"Joe Gill",194,"Paris","Seine (Paris)","FR","France","75005"
13767,150,"Linda Jimenez",150,"München","Hamburg","DE","Germany","80074"
13768,216,"Ross B Munoz",216,"Courbevoie","Hauts de Seine","FR","France","92400"
13769,205,"Brendan Kumar",205,"Lieusaint","Seine et Marne","FR","France","77127"
13770,131,"Gerald A Moreno",131,"Frankfurt","Hessen","DE","Germany","60323"
13771,147,"Victor L Moreno",147,"Hamburg","Hamburg","DE","Germany","20354"
13772,265,"Michele K Perez",265,"Peterborough","England","GB","United Kingdom","PB12"
13773,186,"Dana L Blanco",186,"Dunkerque","Nord","FR","France","59140"
13774,132,"Steve L Guo",132,"Hamburg","Hessen","DE","Germany","22001"
13775,157,"Patricia Subram",157,"Hannover","Nordrhein-Westfalen","DE","Germany","30601"
13776,231,"Miguel Carter",231,"Billericay","England","GB","United Kingdom","CM11"
13777,254,"Manuel C Perez",254,"London","England","GB","United Kingdom","W1N 9FA"
13778,156,"Roger L Huang",156,"Braunschweig","Nordrhein-Westfalen","DE","Germany","38001"
13779,202,"Manuel Garcia",202,"Paris","Seine (Paris)","FR","France","75016"
13780,215,"Monica Perez",215,"Colombes","Hauts de Seine","FR","France","92700"
13781,194,"Dominique Patel",194,"Paris","Seine (Paris)","FR","France","75005"
13782,144,"Kelli L Lu",144,"Essen","Hamburg","DE","Germany","45001"
13783,265,"Logan M Wright",265,"Peterborough","England","GB","United Kingdom","PB12"
13784,271,"Spencer Griffin",271,"Warrington","England","GB","United Kingdom","WA1"
13785,254,"Clayton She",254,"London","England","GB","United Kingdom","W1N 9FA"
13786,133,"Jon Chavez",133,"Kassel","Hessen","DE","Germany","34117"
13787,119,"Glenn Cai",119,"Grevenbroich","Bayern","DE","Germany","41485"
13788,232,"Kari Fernandez",232,"Birmingham","England","GB","United Kingdom","B29 6SL"
13789,174,"Julie M Shan",174,"Saarbrücken","Saarland","DE","Germany","66001"
13790,170,"Nina O Deng",170,"Münster","Saarland","DE","Germany","48001"
13791,259,"Audrey Martin",259,"Milton Keynes","England","GB","United Kingdom","MK8 8DF"
13792,279,"Charles Taylor",279,"York","England","GB","United Kingdom","YO15"
13793,189,"Jason Gonzales",189,"Roubaix","Nord","FR","France","59100"
13794,276,"Mallory J Martin",276,"Woolston","England","GB","United Kingdom","WA1 4SY"
13795,146,"Carl J Raje",146,"Frankfurt am Main","Hamburg","DE","Germany","60355"
13796,130,"Martha L Zheng",130,"Duesseldorf","Hessen","DE","Germany","40605"
13797,168,"Franklin R Gao",168,"Kiel","Saarland","DE","Germany","24044"
13798,274,"Tammy C Randall",274,"West Sussex","England","GB","United Kingdom","RH15 9UD"
13799,207,"Bryan E Bailey",207,"Chatou","Yveline","FR","France","78400"
13800,187,"Logan Li",187,"Lille","Nord","FR","France","59000"
13801,207,"Colleen L Andersen",207,"Chatou","Yveline","FR","France","78400"
13802,186,"Tina Subram",186,"Dunkerque","Nord","FR","France","59140"
13803,175,"Krystal Zheng",175,"Saarlouis","Saarland","DE","Germany","66740"
13804,232,"Dawn A Luo",232,"Birmingham","England","GB","United Kingdom","B29 6SL"
13805,267,"Gabriel J Hernandez",267,"Runcorn","England","GB","United Kingdom","TY31"
13806,225,"Bryant C Mehta",225,"Orly","Val de Marne","FR","France","94310"
13807,130,"Frederick J Rana",130,"Duesseldorf","Hessen","DE","Germany","40605"
13808,117,"Richard L Perez",117,"Erlangen","Bayern","DE","Germany","91054"
13809,259,"Lisa L Zhou",259,"Milton Keynes","England","GB","United Kingdom","MK8 8DF"
13810,273,"Vanessa Barnes",273,"Watford","England","GB","United Kingdom","WA3"
13811,220,"Sandra Chen",220,"Bobigny","Seine Saint Denis","FR","France","93000"
13812,183,"Joanna Munoz",183,"Orleans","Loiret","FR","France","45000"
13813,224,"Kristen Sun",224,"Tremblay-en-France","Seine Saint Denis","FR","France","93290"
13814,234,"Sarah R Walker",234,"Bury","England","GB","United Kingdom","PE17"
13815,245,"Lacey Lin",245,"London","England","GB","United Kingdom","E17 6JF"
13816,265,"Marissa Henderson",265,"Peterborough","England","GB","United Kingdom","PB12"
13817,215,"Jenny Huang",215,"Colombes","Hauts de Seine","FR","France","92700"
13818,221,"Dawn Chander",221,"Drancy","Seine Saint Denis","FR","France","93700"
13819,211,"Max K Gill",211,"Les Ulis","Essonne","FR","France","91940"
13820,257,"Danny Alvarez",257,"London","England","GB","United Kingdom","W1Y 3RA"
13821,276,"Allen O Lopez",276,"Woolston","England","GB","United Kingdom","WA1 4SY"
13822,117,"Jay Moyer",117,"Erlangen","Bayern","DE","Germany","91054"
13823,213,"Margaret D Zheng",213,"Verrieres Le Buisson","Essonne","FR","France","91370"
13824,162,"Destiny C Wood",162,"Werne","Nordrhein-Westfalen","DE","Germany","59368"
13825,187,"Kelvin E Ma",187,"Lille","Nord","FR","France","59000"
13826,127,"Candice He",127,"Darmstadt","Hessen","DE","Germany","64283"
13827,131,"Nathan L Harris",131,"Frankfurt","Hessen","DE","Germany","60323"
13828,167,"Jessie R Travers",167,"Frankfurt am Main","Saarland","DE","Germany","60075"
13829,119,"Randall T Carlson",119,"Grevenbroich","Bayern","DE","Germany","41485"
13830,237,"Andrea Cox",237,"Esher-Molesey","England","GB","United Kingdom","EM15"
13831,212,"Eddie A Alvarez",212,"Morangis","Essonne","FR","France","91420"
13832,216,"Priscilla R Raji",216,"Courbevoie","Hauts de Seine","FR","France","92400"
13833,221,"Noah C Lewis",221,"Drancy","Seine Saint Denis","FR","France","93700"
13834,212,"Naomi Suarez",212,"Morangis","Essonne","FR","France","91420"
13835,196,"Hailey Brooks",196,"Paris","Seine (Paris)","FR","France","75007"
13836,120,"Dominic C Sara",120,"Hof","Bayern","DE","Germany","95010"
13837,120,"Alyssa Lee",120,"Hof","Bayern","DE","Germany","95010"
13838,263,"Jill Rubio",263,"Oxford","England","GB","United Kingdom","OX14 4SE"
13839,206,"Manuel Madan",206,"Roissy en Brie","Seine et Marne","FR","France","77680"
13840,191,"Tommy Pal",191,"Boulogne-sur-Mer","Pas de Calais","FR","France","62200"
13841,278,"Clayton Kumar",278,"York","England","GB","United Kingdom","Y03 4TN"
13842,156,"Kenneth J Xie",156,"Braunschweig","Nordrhein-Westfalen","DE","Germany","38001"
13843,208,"Warren E Xie",208,"Saint Germain en Laye","Yveline","FR","France","78100"
13844,151,"Phillip H Mehta",151,"Paderborn","Hamburg","DE","Germany","33041"
13845,241,"Shawn C Nara",241,"Kirkby","England","GB","United Kingdom","KB9"
13846,261,"Lisa R Zheng",261,"Newcastle upon Tyne","England","GB","United Kingdom","NT20"
13847,263,"Kurt G Tang",263,"Oxford","England","GB","United Kingdom","OX14 4SE"
13848,552,"Melissa W Blue",552,"W. Linn","Oregon","US","United States","97068"
13849,536,"Preston Rodriguez",536,"Beaverton","Oregon","US","United States","97005"
13850,300,"Anthony Thompson",300,"Beverly Hills","California","US","United States","90210"
13851,60,"Seth Moore",60,"Port Hammond","British Columbia","CA","Canada","V6B 3P7"
13852,54,"Ian D Robinson",54,"N. Vancouver","British Columbia","CA","Canada","V7L 4J4"
13853,56,"Connor R Zhang",56,"Newton","British Columbia","CA","Canada","V2M1N7"
13854,307,"Kyle Parker",307,"Chula Vista","California","US","United States","91910"
13855,310,"Sarah C Washington",310,"Colma","California","US","United States","94014"
13857,553,"Victoria A Thompson",553,"Woodburn","Oregon","US","United States","97071"
13858,359,"Melanie M Richardson",359,"San Diego","California","US","United States","92102"
13859,302,"Kristin Deng",302,"Burlingame","California","US","United States","94010"
13860,50,"Olivia S Watson",50,"Haney","British Columbia","CA","Canada","V2W 1W2"
13861,635,"Hailey L Rogers",635,"Renton","Washington","US","United States","98055"
13862,298,"Andrew M Walker",298,"Bellflower","California","US","United States","90706"
13863,299,"Kevin L Long",299,"Berkeley","California","US","United States","94704"
13864,299,"Robin H Torres",299,"Berkeley","California","US","United States","94704"
13865,347,"Mariah Foster",347,"Novato","California","US","United States","94947"
13866,359,"Mya Butler",359,"San Diego","California","US","United States","92102"
13867,626,"Luke Griffin",626,"Lynnwood","Washington","US","United States","98036"
13868,548,"Shelby Morris",548,"Salem","Oregon","US","United States","97301"
13869,302,"Anna E Morgan",302,"Burlingame","California","US","United States","94010"
13870,543,"Jonathan P Clark",543,"Lebanon","Oregon","US","United States","97355"
13871,352,"Sarah Gonzales",352,"Palo Alto","California","US","United States","94303"
13872,627,"Alyssa H Henderson",627,"Marysville","Washington","US","United States","98270"
13873,311,"Russell L Jai",311,"Concord","California","US","United States","94519"
13874,326,"Alyssa Bryant",326,"Grossmont","California","US","United States","91941"
13875,316,"Samantha C Williams",316,"El Cajon","California","US","United States","92020"
13876,307,"Sebastian R Murphy",307,"Chula Vista","California","US","United States","91910"
13877,334,"Adam Lal",334,"Lakewood","California","US","United States","90712"
13878,59,"Sebastian B Gray",59,"Oak Bay","British Columbia","CA","Canada","V8P"
13879,298,"Derrick Hernandez",298,"Bellflower","California","US","United States","90706"
13880,612,"Marshall Kumar",612,"Burien","Washington","US","United States","98168"
13881,648,"Jasmine T Wood",648,"Yakima","Washington","US","United States","98901"
13882,329,"Mariah Russell",329,"Imperial Beach","California","US","United States","91932"
13883,337,"Brandon Lal",337,"Long Beach","California","US","United States","90802"
13884,609,"Jada Rogers",609,"Bellingham","Washington","US","United States","98225"
13885,642,"Brian S Howard",642,"Tacoma","Washington","US","United States","98403"
13886,310,"Rachel M Taylor",310,"Colma","California","US","United States","94014"
13887,372,"Nathan K Scott",372,"Spring Valley","California","US","United States","91977"
13888,616,"Ian Brown",616,"Everett","Washington","US","United States","98201"
13889,543,"Robert C Martin",543,"Lebanon","Oregon","US","United States","97355"
13890,536,"Jennifer W Carter",536,"Beaverton","Oregon","US","United States","97005"
13891,334,"Aaron Simmons",334,"Lakewood","California","US","United States","90712"
13892,545,"Spencer J Diaz",545,"Milwaukie","Oregon","US","United States","97222"
13893,536,"Dalton I Carter",536,"Beaverton","Oregon","US","United States","97005"
13894,611,"Robyn I Ruiz",611,"Bremerton","Washington","US","United States","98312"
13895,611,"Isabella Brooks",611,"Bremerton","Washington","US","United States","98312"
13896,612,"Hailey Mitchell",612,"Burien","Washington","US","United States","98168"
13897,612,"Carol K Washington",612,"Burien","Washington","US","United States","98168"
13898,539,"Richard Baker",539,"Corvallis","Oregon","US","United States","97330"
13899,631,"Cameron M Jones",631,"Olympia","Washington","US","United States","98501"
13900,631,"Isaac Campbell",631,"Olympia","Washington","US","United States","98501"
13901,552,"Oscar L Foster",552,"W. Linn","Oregon","US","United States","97068"
13902,311,"Jeremiah Simmons",311,"Concord","California","US","United States","94519"
13903,316,"Elijah Hernandez",316,"El Cajon","California","US","United States","92020"
13904,329,"Natalie J Thompson",329,"Imperial Beach","California","US","United States","91932"
13905,331,"Christian Henderson",331,"La Jolla","California","US","United States","92806"
13906,631,"Courtney L Evans",631,"Olympia","Washington","US","United States","98501"
13907,611,"Misty L Xie",611,"Bremerton","Washington","US","United States","98312"
13908,49,"Alyssa Diaz",49,"Cliffside","British Columbia","CA","Canada","V8Y 1L1"
13909,50,"Riley R Price",50,"Haney","British Columbia","CA","Canada","V2W 1W2"
13910,638,"Isabelle Butler",638,"Sedro Woolley","Washington","US","United States","98284"
13911,637,"Andrea Kelly",637,"Seattle","Washington","US","United States","98104"
13912,312,"Caroline Simmons",312,"Coronado","California","US","United States","92118"
13913,299,"Angela Rogers",299,"Berkeley","California","US","United States","94704"
13914,307,"Abigail Bell",307,"Chula Vista","California","US","United States","91910"
13915,325,"Allison M King",325,"Glendale","California","US","United States","91203"
13916,71,"Eduardo I Ward",71,"Westminster","British Columbia","CA","Canada","V3L 1H4"
13917,347,"Samuel W Allen",347,"Novato","California","US","United States","94947"
13918,43,"Armando F Blanco",43,"Burnaby","British Columbia","CA","Canada","V3J 6Z3"
13919,325,"Grace Smith",325,"Glendale","California","US","United States","91203"
13920,66,"Amanda A Rogers",66,"Sooke","British Columbia","CA","Canada","V0"
13921,311,"Joseph Jones",311,"Concord","California","US","United States","94519"
13922,548,"Jackson A Foster",548,"Salem","Oregon","US","United States","97301"
13923,326,"Steven H Howard",326,"Grossmont","California","US","United States","91941"
13924,359,"Hannah Hall",359,"San Diego","California","US","United States","92102"
13925,355,"Wyatt A Barnes",355,"Redwood City","California","US","United States","94063"
13926,607,"Dalton E Hill",607,"Ballard","Washington","US","United States","98107"
13927,298,"Gabriel M Gonzales",298,"Bellflower","California","US","United States","90706"
13928,642,"Nathaniel K Morris",642,"Tacoma","Washington","US","United States","98403"
13929,542,"Robert M Hayes",542,"Lake Oswego","Oregon","US","United States","97034"
13930,552,"Samantha C Coleman",552,"W. Linn","Oregon","US","United States","97068"
13931,634,"Luke Hernandez",634,"Redmond","Washington","US","United States","98052"
13932,316,"Timothy Sanchez",316,"El Cajon","California","US","United States","92020"
13933,374,"Isabella F Richardson",374,"Torrance","California","US","United States","90505"
13934,618,"Luis Young",618,"Issaquah","Washington","US","United States","98027"
13935,348,"Kimberly L Sanchez",348,"Oakland","California","US","United States","94611"
13936,52,"Nathan L Wilson",52,"Langley","British Columbia","CA","Canada","V3A 4R2"
13937,545,"Victoria Ware",545,"Milwaukie","Oregon","US","United States","97222"
13938,298,"Alejandro J Cai",298,"Bellflower","California","US","United States","90706"
13939,301,"Eduardo Ramirez",301,"Burbank","California","US","United States","91502"
13940,337,"Emma L Simmons",337,"Long Beach","California","US","United States","90802"
13941,60,"Brittany Hayes",60,"Port Hammond","British Columbia","CA","Canada","V6B 3P7"
13942,315,"Seth V Long",315,"Downey","California","US","United States","90241"
13943,338,"Kelly Bryant",338,"Los Angeles","California","US","United States","90012"
13944,58,"Andrew A Moore",58,"Newton","British Columbia","CA","Canada","V2M1S6"
13945,609,"Yolanda Luo",609,"Bellingham","Washington","US","United States","98225"
13946,547,"Jason L Powell",547,"Portland","Oregon","US","United States","97205"
13947,546,"Megan W Hughes",546,"Oregon City","Oregon","US","United States","97045"
13948,299,"Susan A Ma",299,"Berkeley","California","US","United States","94704"
13949,299,"Dwayne R Ramos",299,"Berkeley","California","US","United States","94704"
13950,609,"Meredith B Hernandez",609,"Bellingham","Washington","US","United States","98225"
13951,641,"Dylan C Hughes",641,"Spokane","Washington","US","United States","99202"
13952,36,"Franklin L Ye",36,"Melton","Victoria","AU","Australia","3337"
13953,10,"Theresa M Munoz",10,"Newcastle","New South Wales","AU","Australia","2300"
13954,24,"Eddie T Ramos",24,"Hawthorne","Queensland","AU","Australia","4171"
13955,19,"Andres E Raji",19,"Wollongong","New South Wales","AU","Australia","2500"
13956,15,"Dawn A Ma",15,"Silverwater","New South Wales","AU","Australia","2264"
13957,21,"Meredith Munoz",21,"Caloundra","Queensland","AU","Australia","4551"
13958,40,"Diane Martin",40,"Warrnambool","Victoria","AU","Australia","3280"
13959,36,"Ebony Carlson",36,"Melton","Victoria","AU","Australia","3337"
13960,15,"Lacey Kumar",15,"Silverwater","New South Wales","AU","Australia","2264"
13961,39,"Shawna P Raji",39,"Sunbury","Victoria","AU","Australia","3429"
13962,16,"Dawn B Li",16,"Springwood","New South Wales","AU","Australia","2777"
13963,31,"Veronica Patel",31,"Hobart","Tasmania","AU","Australia","7001"
13964,18,"Jasmine Lewis",18,"Sydney","New South Wales","AU","Australia","1002"
13965,25,"Barry R Sara",25,"Hervey Bay","Queensland","AU","Australia","4655"
13966,3,"Darren M Dominguez",3,"Darlinghurst","New South Wales","AU","Australia","2010"
13967,40,"Glenn A Zhang",40,"Warrnambool","Victoria","AU","Australia","3280"
13968,17,"Lydia L Sai",17,"St. Leonards","New South Wales","AU","Australia","2065"
13969,23,"Roy J Martinez",23,"Gold Coast","Queensland","AU","Australia","4217"
13970,24,"Pedro F Rana",24,"Hawthorne","Queensland","AU","Australia","4171"
13971,25,"Bianca Zhao",25,"Hervey Bay","Queensland","AU","Australia","4655"
13972,30,"Eugene Liang",30,"Perth","South Australia","AU","Australia","6006"
13973,28,"Bethany L Shan",28,"Cloverdale","South Australia","AU","Australia","6105"
13974,9,"Tina S Chandra",9,"Milsons Point","New South Wales","AU","Australia","2061"
13975,31,"Johnny Raje",31,"Hobart","Tasmania","AU","Australia","7001"
13976,611,"Emmanuel Smith",611,"Bremerton","Washington","US","United States","98312"
13977,618,"Alexandra R Brown",618,"Issaquah","Washington","US","United States","98027"
13978,635,"Zoe Peterson",635,"Renton","Washington","US","United States","98055"
13979,633,"Chloe W Jenkins",633,"Puyallup","Washington","US","United States","98371"
13980,300,"Margaret R Liu",300,"Beverly Hills","California","US","United States","90210"
13981,31,"Joy Carlson",31,"Hobart","Tasmania","AU","Australia","7001"
13982,12,"Clarence E Chander",12,"North Sydney","New South Wales","AU","Australia","2055"
13983,13,"Logan H Collins",13,"Port Macquarie","New South Wales","AU","Australia","2444"
13984,359,"Adrian C Richardson",359,"San Diego","California","US","United States","92102"
13985,372,"Alexis A Wood",372,"Spring Valley","California","US","United States","91977"
13986,372,"Chloe R Anderson",372,"Spring Valley","California","US","United States","91977"
13987,52,"Eduardo Collins",52,"Langley","British Columbia","CA","Canada","V3A 4R2"
13988,57,"Miguel S White",57,"Newton","British Columbia","CA","Canada","V2M1P1"
13989,612,"Chloe A Bradley",612,"Burien","Washington","US","United States","98168"
13990,548,"Stephanie A Wood",548,"Salem","Oregon","US","United States","97301"
13991,638,"Jack L Hayes",638,"Sedro Woolley","Washington","US","United States","98284"
13992,302,"Gregory Xie",302,"Burlingame","California","US","United States","94010"
13993,302,"Zachary R Patterson",302,"Burlingame","California","US","United States","94010"
13994,18,"Isaac M Cook",18,"Sydney","New South Wales","AU","Australia","1002"
13995,35,"Michele Black",35,"Melbourne","Victoria","AU","Australia","3000"
13996,11,"Marie Perez",11,"North Ryde","New South Wales","AU","Australia","2113"
13997,30,"Raquel W Hernandez",30,"Perth","South Australia","AU","Australia","6006"
13998,33,"Ethan M Martin",33,"Cranbourne","Victoria","AU","Australia","3977"
13999,348,"Elijah A Gonzales",348,"Oakland","California","US","United States","94611"
14000,536,"Terry Sharma",536,"Beaverton","Oregon","US","United States","97005"
14001,536,"Hunter Hill",536,"Beaverton","Oregon","US","United States","97005"
14002,612,"Jacqueline Reed",612,"Burien","Washington","US","United States","98168"
14003,547,"Angel Ramirez",547,"Portland","Oregon","US","United States","97205"
14004,314,"Caitlin Kelly",314,"Daly City","California","US","United States","94015"
14005,355,"Noah J Hughes",355,"Redwood City","California","US","United States","94063"
14006,358,"Brianna M Walker",358,"San Carlos","California","US","United States","94070"
14007,2,"Rebekah M Garcia",2,"Coffs Harbour","New South Wales","AU","Australia","2450"
14008,34,"Karen F Liu",34,"Geelong","Victoria","AU","Australia","3220"
14009,37,"Brandy P Prasad",37,"Seaford","Victoria","AU","Australia","3198"
14010,36,"Thomas Moore",36,"Melton","Victoria","AU","Australia","3337"
14011,17,"Roger G Shen",17,"St. Leonards","New South Wales","AU","Australia","2065"
14012,27,"Eddie T Vazquez",27,"Townsville","Queensland","AU","Australia","4810"
14013,31,"Jimmy V Blanco",31,"Hobart","Tasmania","AU","Australia","7001"
14014,5,"Leslie T Serrano",5,"Lane Cove","New South Wales","AU","Australia","1597"
14015,39,"Kurt R Lal",39,"Sunbury","Victoria","AU","Australia","3429"
14016,9,"Mary R. Sandidge",9,"Milsons Point","New South Wales","AU","Australia","2061"
14017,359,"Chloe C Rodriguez",359,"San Diego","California","US","United States","92102"
14018,32,"Nina Rai",32,"Bendigo","Victoria","AU","Australia","3550"
14019,33,"Kathleen Romero",33,"Cranbourne","Victoria","AU","Australia","3977"
14020,38,"Kristine A Dominguez",38,"South Melbourne","Victoria","AU","Australia","3205"
14021,623,"Michelle Richardson",623,"Kirkland","Washington","US","United States","98033"
14022,627,"Taylor Lee",627,"Marysville","Washington","US","United States","98270"
14023,311,"Beth J Carlson",311,"Concord","California","US","United States","94519"
14024,348,"Hannah Moore",348,"Oakland","California","US","United States","94611"
14025,637,"Robert Alexander",637,"Seattle","Washington","US","United States","98104"
14026,635,"Chloe E Butler",635,"Renton","Washington","US","United States","98055"
14027,642,"Carlos M Perez",642,"Tacoma","Washington","US","United States","98403"
14028,609,"Patricia Srini",609,"Bellingham","Washington","US","United States","98225"
14029,542,"Christina Morris",542,"Lake Oswego","Oregon","US","United States","97034"
14030,40,"Lawrence M Sanz",40,"Warrnambool","Victoria","AU","Australia","3280"
14031,10,"Ruben Suarez",10,"Newcastle","New South Wales","AU","Australia","2300"
14032,15,"Arthur L Chandra",15,"Silverwater","New South Wales","AU","Australia","2264"
14033,29,"Melinda J Torres",29,"Findon","South Australia","AU","Australia","5023"
14034,12,"Dennis Liang",12,"North Sydney","New South Wales","AU","Australia","2055"
14035,329,"Hunter Hughes",329,"Imperial Beach","California","US","United States","91932"
14036,546,"Amanda T Torres",546,"Oregon City","Oregon","US","United States","97045"
14037,299,"Lydia Sara",299,"Berkeley","California","US","United States","94704"
14038,18,"Madison Foster",18,"Sydney","New South Wales","AU","Australia","1002"
14039,39,"Nathan Wang",39,"Sunbury","Victoria","AU","Australia","3429"
14040,316,"Stephanie S Morris",316,"El Cajon","California","US","United States","92020"
14041,70,"Danielle Bell",70,"Westminster","British Columbia","CA","Canada","V3L 1E7"
14042,648,"Stephanie R Adams",648,"Yakima","Washington","US","United States","98901"
14043,547,"Mary Gonzalez",547,"Portland","Oregon","US","United States","97205"
14044,348,"Thomas M Wright",348,"Oakland","California","US","United States","94611"
14045,20,"Tanya R Ramos",20,"Brisbane","Queensland","AU","Australia","4000"
14046,36,"Cheryl G Sanz",36,"Melton","Victoria","AU","Australia","3337"
14047,19,"Linda Alvarez",19,"Wollongong","New South Wales","AU","Australia","2500"
14048,32,"Wyatt A Mitchell",32,"Bendigo","Victoria","AU","Australia","3550"
14049,23,"Gina Hernandez",23,"Gold Coast","Queensland","AU","Australia","4217"
14050,28,"Manuel M Lopez",28,"Cloverdale","South Australia","AU","Australia","6105"
14051,31,"Nathaniel M Rivera",31,"Hobart","Tasmania","AU","Australia","7001"
14052,26,"Jorge O Ma",26,"Rockhampton","Queensland","AU","Australia","4700"
14053,17,"Tamara E Huang",17,"St. Leonards","New South Wales","AU","Australia","2065"
14054,40,"Reginald Martin",40,"Warrnambool","Victoria","AU","Australia","3280"
14055,14,"Alejandro Kumar",14,"Rhodes","New South Wales","AU","Australia","2138"
14056,32,"Nelson M Sanz",32,"Bendigo","Victoria","AU","Australia","3550"
14057,11,"Lance I Alonso",11,"North Ryde","New South Wales","AU","Australia","2113"
14058,20,"Johnny Anand",20,"Brisbane","Queensland","AU","Australia","4000"
14059,35,"Rodney C Ramos",35,"Melbourne","Victoria","AU","Australia","3000"
14060,35,"Cedric A Sharma",35,"Melbourne","Victoria","AU","Australia","3000"
14061,17,"Naomi J Torres",17,"St. Leonards","New South Wales","AU","Australia","2065"
14062,25,"Madison A Clark",25,"Hervey Bay","Queensland","AU","Australia","4655"
14063,8,"Patrick Sands",8,"Matraville","New South Wales","AU","Australia","2036"
